,office,1_x,1_y,1_angle,1_patient,2_x,2_y,2_angle,2_patient,3_x,3_y,3_angle,3_patient,4_x,4_y,4_angle,4_patient,5_x,5_y,5_angle,5_patient,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_660_164_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,164.0,b,1525.09
office1_660_164_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,164.0,b,628.2233333333334
office1_660_205_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,a,998.855
office1_660_205_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,a,446.79333333333335
office1_660_205_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,a,1912.6866666666667
office1_660_205_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,a,1084.1466666666668
office1_660_205_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,205.0,a,836.4366666666666
office1_660_205_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,b,2533.8083333333334
office1_660_205_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,b,179.95666666666668
office1_660_205_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,b,1318.41
office1_660_205_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,205.0,b,1498.6816666666666
office1_660_205_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,205.0,b,1189.5566666666666
office1_660_246_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,a,3651.1633333333334
office1_660_246_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,a,470.52166666666665
office1_660_246_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,a,2533.04
office1_660_246_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,a,1167.74
office1_660_246_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,246.0,a,1073.9983333333332
office1_660_246_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,b,992.8266666666667
office1_660_246_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,b,763.7783333333333
office1_660_246_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,b,1982.91
office1_660_246_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,246.0,b,1058.8483333333334
office1_660_246_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,246.0,b,292.4316666666667
office1_660_41_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,41.0,a,4363.368333333333
office1_660_41_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,41.0,a,1039.7316666666666
office1_660_41_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,41.0,a,1337.4
office1_660_41_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,660.0,41.0,a,1110.1766666666667
office1_660_41_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,660.0,41.0,a,1295.6533333333334
office1_660_41_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,41.0,b,1198.9783333333332
office1_660_41_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,41.0,b,656.105
office1_660_41_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,660.0,41.0,b,967.8783333333333
