,office,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office4_0_246_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,0.0,246.0,b,1720.3433333333332
office4_0_82_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,0.0,82.0,a,1752.667333333333
office4_0_82_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,0.0,82.0,b,1525.6053333333336
office4_360_0,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,360.0,0.0,off,1447.3263333333334
office4_360_164_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,360.0,164.0,a,1333.138
office4_360_164_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,360.0,164.0,b,1438.9013333333337
office4_360_246_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,360.0,246.0,a,1311.1676666666667
office4_360_246_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,360.0,246.0,b,1673.1140000000005
office4_360_82_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,360.0,82.0,a,1721.068
office4_360_82_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,360.0,82.0,b,1480.3446666666669
office4_660_0,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,660.0,0.0,off,1558.9516666666666
office4_660_164_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,660.0,164.0,a,1494.8836666666666
office4_660_164_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,660.0,164.0,b,1502.1513333333337
office4_660_246_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,660.0,246.0,a,1386.6296666666667
office4_660_246_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,660.0,246.0,b,1692.3413333333333
office4_660_82_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,660.0,82.0,a,1458.2043333333336
office4_660_82_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,660.0,82.0,b,1358.927333333333
office4_960_0,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,960.0,0.0,off,1281.3436666666666
office4_960_164_aout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,960.0,164.0,a,1623.0820000000003
office4_960_164_bout,office4,5.034,4.515,90.0,3.59,4.515,90.0,2.54,0.984,270.0,3.99,0.984,270.0,5.44,0.984,270.0,6.0,5.5,960.0,164.0,b,1195.4730000000002
