A new study created in RDB with name: Poly_ElasticNet_104731
Trial 54 finished with value: 0.43566440803421996 and parameters: {'n_components': 9, 'degree': 3, 'alpha': 0.00013973445927713645, 'l1_ratio': 0.7650953647810146, 'max_iter': 73324}. Best is trial 97 with value: 0.4995922049215561.
Trial 129 finished with value: 0.14322687900776093 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.001964841684506808, 'l1_ratio': 0.8411040861370963, 'max_iter': 47330}. Best is trial 97 with value: 0.4995922049215561.
Trial 133 finished with value: -0.02406002946838428 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.0017061436368251968, 'l1_ratio': 0.242296038209322, 'max_iter': 73416}. Best is trial 97 with value: 0.4995922049215561.
Trial 134 finished with value: -0.11057433697718069 and parameters: {'n_components': 4, 'degree': 2, 'alpha': 0.03907533395498669, 'l1_ratio': 0.08087995862535513, 'max_iter': 47914}. Best is trial 97 with value: 0.4995922049215561.
Trial 0 finished with value: 0.3387464570102756 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.00019173131946210184, 'l1_ratio': 0.8407199804355863, 'max_iter': 58215}. Best is trial 97 with value: 0.4995922049215561.
Trial 136 finished with value: 0.12632180467480772 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.05954763013237727, 'l1_ratio': 0.2182317095347197, 'max_iter': 64735}. Best is trial 97 with value: 0.4995922049215561.
Trial 137 finished with value: 0.41345876678605137 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.16807325698078887, 'l1_ratio': 0.836362142237708, 'max_iter': 53386}. Best is trial 97 with value: 0.4995922049215561.
Trial 138 finished with value: -1.7034122193663404 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.11241350309701754, 'l1_ratio': 0.04231756552568644, 'max_iter': 21921}. Best is trial 97 with value: 0.4995922049215561.
Trial 139 finished with value: -4.876923318768118 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.12131938625285504, 'l1_ratio': 0.6920730408758241, 'max_iter': 98710}. Best is trial 97 with value: 0.4995922049215561.
Trial 140 finished with value: -5.116969924877019 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 0.005185473868469608, 'l1_ratio': 0.32664623732612164, 'max_iter': 96611}. Best is trial 97 with value: 0.4995922049215561.
Trial 141 finished with value: -5.0785769640548395 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 0.032544220574948934, 'l1_ratio': 0.26315200275861983, 'max_iter': 54743}. Best is trial 97 with value: 0.4995922049215561.
Trial 142 finished with value: -0.1103499741936336 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.9063052261031749, 'l1_ratio': 0.7787441298673728, 'max_iter': 1039}. Best is trial 97 with value: 0.4995922049215561.
Trial 120 finished with value: 0.33523480371242004 and parameters: {'n_components': 7, 'degree': 5, 'alpha': 0.02033485175513762, 'l1_ratio': 0.46028318210565267, 'max_iter': 23005}. Best is trial 97 with value: 0.4995922049215561.
Trial 143 finished with value: 0.08322654053541763 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.013665505189352667, 'l1_ratio': 0.11569485514176125, 'max_iter': 32474}. Best is trial 97 with value: 0.4995922049215561.
Trial 20 finished with value: 0.5540132169662004 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 0.8044356384091591, 'l1_ratio': 0.4362034016678267, 'max_iter': 37104}. Best is trial 20 with value: 0.5540132169662004.
Trial 145 finished with value: 0.5040371397910501 and parameters: {'n_components': 11, 'degree': 4, 'alpha': 0.37464563604434414, 'l1_ratio': 0.5506482426350626, 'max_iter': 88070}. Best is trial 20 with value: 0.5540132169662004.
