A new study created in RDB with name: SVR_172814
Trial 90 finished with value: -5.160940934848271 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.20477055794498533, 'degree': 2, 'C': 0.03157332297185229}. Best is trial 39 with value: -0.018597391464526103.
Trial 94 finished with value: -5.341689026550642 and parameters: {'kernel': 'rbf', 'epsilon': 0.0008314997870211283, 'degree': 3, 'C': 0.0006715156173679157}. Best is trial 39 with value: -0.018597391464526103.
Trial 92 finished with value: -2.0608852924744636 and parameters: {'kernel': 'rbf', 'epsilon': 0.5645040373190033, 'degree': 4, 'C': 1.074074899283501}. Best is trial 39 with value: -0.018597391464526103.
Trial 91 finished with value: -1.597497338233832 and parameters: {'kernel': 'poly', 'epsilon': 0.09202282444203358, 'degree': 3, 'C': 1.447243491048128}. Best is trial 39 with value: -0.018597391464526103.
Trial 97 finished with value: -4.787130438037836 and parameters: {'kernel': 'poly', 'epsilon': 0.12225520123304123, 'degree': 2, 'C': 0.11460587649061524}. Best is trial 39 with value: -0.018597391464526103.
Trial 96 finished with value: -5.290257663082469 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.10976707968813981, 'degree': 5, 'C': 0.009310033490491044}. Best is trial 39 with value: -0.018597391464526103.
Trial 104 finished with value: -5.095639290369376 and parameters: {'kernel': 'poly', 'epsilon': 0.21242702678147596, 'degree': 4, 'C': 0.028832131758360417}. Best is trial 39 with value: -0.018597391464526103.
Trial 95 finished with value: -5.356709838382629 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.1537161078577055, 'degree': 6, 'C': 0.00015975036105964942}. Best is trial 39 with value: -0.018597391464526103.
Trial 109 finished with value: -2.4679277461447344 and parameters: {'kernel': 'poly', 'epsilon': 0.40083093016081905, 'degree': 6, 'C': 0.5881654540503085}. Best is trial 39 with value: -0.018597391464526103.
Trial 93 finished with value: -1.7126243167884074 and parameters: {'kernel': 'poly', 'epsilon': 0.9887294401559372, 'degree': 4, 'C': 1.6095011499383334}. Best is trial 39 with value: -0.018597391464526103.
Trial 100 finished with value: -0.21981771702881098 and parameters: {'kernel': 'linear', 'epsilon': 0.2690662457728634, 'degree': 5, 'C': 0.20204262404522058}. Best is trial 39 with value: -0.018597391464526103.
Trial 99 finished with value: -4.980451410645253 and parameters: {'kernel': 'rbf', 'epsilon': 0.04809197110496244, 'degree': 3, 'C': 0.0895101030967763}. Best is trial 39 with value: -0.018597391464526103.
Trial 102 finished with value: -5.413116948790515 and parameters: {'kernel': 'rbf', 'epsilon': 0.564658549050574, 'degree': 4, 'C': 0.0006383472482572999}. Best is trial 39 with value: -0.018597391464526103.
Trial 98 finished with value: -1.4216777488644659 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.734986207465869, 'degree': 2, 'C': 1.174053116735869}. Best is trial 39 with value: -0.018597391464526103.
Trial 101 finished with value: -0.029017366962419865 and parameters: {'kernel': 'linear', 'epsilon': 0.47939578083476786, 'degree': 3, 'C': 0.947637465621385}. Best is trial 39 with value: -0.018597391464526103.
Trial 108 finished with value: -2.7699886230143305 and parameters: {'kernel': 'poly', 'epsilon': 0.6547119877431625, 'degree': 6, 'C': 0.29377868918850625}. Best is trial 39 with value: -0.018597391464526103.
Trial 111 finished with value: -0.6724628702768863 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.5776259389410932, 'degree': 2, 'C': 3.90564589284588}. Best is trial 39 with value: -0.018597391464526103.
Trial 112 finished with value: -5.186165965929262 and parameters: {'kernel': 'linear', 'epsilon': 0.333589293993394, 'degree': 5, 'C': 0.0010120897162402157}. Best is trial 39 with value: -0.018597391464526103.
Trial 106 finished with value: -2.972584289239483 and parameters: {'kernel': 'rbf', 'epsilon': 0.8825413081596467, 'degree': 4, 'C': 0.6506163876561218}. Best is trial 39 with value: -0.018597391464526103.
Trial 107 finished with value: -3.4186240746262375 and parameters: {'kernel': 'rbf', 'epsilon': 0.4113596392582881, 'degree': 4, 'C': 0.5012787989232022}. Best is trial 39 with value: -0.018597391464526103.
Trial 113 finished with value: -5.407392720268089 and parameters: {'kernel': 'poly', 'epsilon': 0.5577564023474475, 'degree': 3, 'C': 0.000856347742009588}. Best is trial 39 with value: -0.018597391464526103.
Trial 110 finished with value: -5.343600342893724 and parameters: {'kernel': 'linear', 'epsilon': 0.5978422473318051, 'degree': 4, 'C': 0.0003834095234790368}. Best is trial 39 with value: -0.018597391464526103.
Trial 103 finished with value: -4.390457939844042 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.05601474519978422, 'degree': 2, 'C': 0.1276471495643651}. Best is trial 39 with value: -0.018597391464526103.
Trial 105 finished with value: -0.954126571352749 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6548652981111398, 'degree': 6, 'C': 2.331599222354868}. Best is trial 39 with value: -0.018597391464526103.
Trial 114 finished with value: -5.377337290499962 and parameters: {'kernel': 'poly', 'epsilon': 0.3133232413161331, 'degree': 5, 'C': 0.00020361279305016153}. Best is trial 39 with value: -0.018597391464526103.
Trial 115 finished with value: -5.4030957632322885 and parameters: {'kernel': 'rbf', 'epsilon': 0.6842802447049422, 'degree': 5, 'C': 0.005371680992316748}. Best is trial 39 with value: -0.018597391464526103.
Trial 121 finished with value: -5.3139129263293885 and parameters: {'kernel': 'poly', 'epsilon': 0.10591031191309674, 'degree': 6, 'C': 0.002156189978400324}. Best is trial 39 with value: -0.018597391464526103.
Trial 118 finished with value: -0.026656330182292333 and parameters: {'kernel': 'linear', 'epsilon': 0.1926059171715253, 'degree': 3, 'C': 1.6614953511591573}. Best is trial 39 with value: -0.018597391464526103.
Trial 119 finished with value: -3.034789826837865 and parameters: {'kernel': 'poly', 'epsilon': 0.3985788716526423, 'degree': 3, 'C': 0.3489230804609764}. Best is trial 39 with value: -0.018597391464526103.
Trial 116 finished with value: -0.6970938628438437 and parameters: {'kernel': 'poly', 'epsilon': 0.9574267773618971, 'degree': 3, 'C': 3.313106284654017}. Best is trial 39 with value: -0.018597391464526103.
Trial 120 finished with value: -0.08914241394957503 and parameters: {'kernel': 'linear', 'epsilon': 0.9507103512229956, 'degree': 3, 'C': 0.3444891586416579}. Best is trial 39 with value: -0.018597391464526103.
Trial 117 finished with value: -0.7081721157887454 and parameters: {'kernel': 'rbf', 'epsilon': 0.5043240176635161, 'degree': 6, 'C': 2.5011075247159957}. Best is trial 39 with value: -0.018597391464526103.
Trial 123 finished with value: -2.354572774419406 and parameters: {'kernel': 'linear', 'epsilon': 0.00705263476816953, 'degree': 2, 'C': 0.02028639147537916}. Best is trial 39 with value: -0.018597391464526103.
Trial 125 finished with value: -2.90475810842464 and parameters: {'kernel': 'linear', 'epsilon': 0.6259823007553851, 'degree': 4, 'C': 0.014261816536182687}. Best is trial 39 with value: -0.018597391464526103.
Trial 130 finished with value: -5.377331050402612 and parameters: {'kernel': 'rbf', 'epsilon': 0.5732290254019079, 'degree': 6, 'C': 0.01030459326562141}. Best is trial 39 with value: -0.018597391464526103.
Trial 122 finished with value: -3.2024813364057225 and parameters: {'kernel': 'poly', 'epsilon': 0.26344176027146604, 'degree': 4, 'C': 0.28959861044736945}. Best is trial 39 with value: -0.018597391464526103.
