A new study created in RDB with name: Poly_ElasticNet_93751
Trial 113 finished with value: 0.2630423715137221 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.0376777767981704, 'l1_ratio': 0.9758195855833101, 'max_iter': 71157}. Best is trial 1 with value: 0.7997489209884635.
Trial 110 finished with value: 0.5374716374589542 and parameters: {'n_components': 2, 'degree': 5, 'alpha': 0.001057306744252031, 'l1_ratio': 0.48292546997927577, 'max_iter': 58539}. Best is trial 1 with value: 0.7997489209884635.
Trial 115 finished with value: 0.5387465239548384 and parameters: {'n_components': 2, 'degree': 5, 'alpha': 0.0003223730310538584, 'l1_ratio': 0.9921418777481468, 'max_iter': 39275}. Best is trial 1 with value: 0.7997489209884635.
Trial 98 finished with value: 0.724829167335194 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.0037304331068721305, 'l1_ratio': 0.6088127369642768, 'max_iter': 80521}. Best is trial 1 with value: 0.7997489209884635.
Trial 117 finished with value: 0.04415558901861165 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 0.5276047088767076, 'l1_ratio': 0.9253526825649959, 'max_iter': 10208}. Best is trial 1 with value: 0.7997489209884635.
Trial 118 finished with value: 0.20705687578972015 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.0013786852939668011, 'l1_ratio': 0.30676978849424363, 'max_iter': 64553}. Best is trial 1 with value: 0.7997489209884635.
Trial 119 finished with value: 0.5838561632796475 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.5551692133529846, 'l1_ratio': 0.9146350441449954, 'max_iter': 44118}. Best is trial 1 with value: 0.7997489209884635.
Trial 120 finished with value: 0.5084810869063497 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 1.2124174731885236, 'l1_ratio': 0.3409633020670919, 'max_iter': 71172}. Best is trial 1 with value: 0.7997489209884635.
Trial 107 finished with value: 0.7774744949956134 and parameters: {'n_components': 10, 'degree': 4, 'alpha': 1.1712332843088444, 'l1_ratio': 0.6292847396043334, 'max_iter': 29778}. Best is trial 1 with value: 0.7997489209884635.
Trial 63 finished with value: 0.735912725315055 and parameters: {'n_components': 6, 'degree': 4, 'alpha': 0.03748470205273141, 'l1_ratio': 0.49084653305520076, 'max_iter': 88464}. Best is trial 1 with value: 0.7997489209884635.
Trial 32 finished with value: 0.6975303398313952 and parameters: {'n_components': 7, 'degree': 5, 'alpha': 1.8480947187242902, 'l1_ratio': 0.9290337673379037, 'max_iter': 62345}. Best is trial 1 with value: 0.7997489209884635.
Trial 124 finished with value: 0.3217583751640717 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 3.6347472867599966, 'l1_ratio': 0.529961659869617, 'max_iter': 52769}. Best is trial 1 with value: 0.7997489209884635.
