A new study created in RDB with name: SVR_14125
Trial 107 finished with value: -1.7999441638077758 and parameters: {'kernel': 'linear', 'epsilon': 0.1474159364658748, 'degree': 3, 'C': 0.027516388656210564}. Best is trial 11 with value: 0.05531934963934123.
Trial 110 finished with value: -0.7943513206498628 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.8576375809417344, 'degree': 5, 'C': 2.953086681865286}. Best is trial 11 with value: 0.05531934963934123.
Trial 119 finished with value: -5.339249300811155 and parameters: {'kernel': 'rbf', 'epsilon': 0.3245689000417876, 'degree': 3, 'C': 0.01107021515654445}. Best is trial 11 with value: 0.05531934963934123.
Trial 111 finished with value: -5.195116191355744 and parameters: {'kernel': 'rbf', 'epsilon': 0.9505922808025775, 'degree': 5, 'C': 0.04996415766998272}. Best is trial 11 with value: 0.05531934963934123.
Trial 112 finished with value: -5.118120379594726 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.048532470366421054, 'degree': 5, 'C': 0.039896909976647854}. Best is trial 11 with value: 0.05531934963934123.
Trial 116 finished with value: -5.354457680027649 and parameters: {'kernel': 'rbf', 'epsilon': 0.14230879344058212, 'degree': 5, 'C': 0.0004545737848342156}. Best is trial 11 with value: 0.05531934963934123.
Trial 120 finished with value: -3.8878690655762824 and parameters: {'kernel': 'linear', 'epsilon': 0.1339520986656435, 'degree': 2, 'C': 0.007393991668588793}. Best is trial 11 with value: 0.05531934963934123.
Trial 124 finished with value: -4.811510143851282 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.30520213485438275, 'degree': 4, 'C': 0.07469039611945699}. Best is trial 11 with value: 0.05531934963934123.
Trial 128 finished with value: -5.31422286098168 and parameters: {'kernel': 'rbf', 'epsilon': 0.2003059840920427, 'degree': 6, 'C': 0.013087240692425393}. Best is trial 11 with value: 0.05531934963934123.
Trial 118 finished with value: -1.3925831593612414 and parameters: {'kernel': 'poly', 'epsilon': 0.17616814535030134, 'degree': 6, 'C': 2.8494118054187645}. Best is trial 11 with value: 0.05531934963934123.
Trial 122 finished with value: -1.937965343689387 and parameters: {'kernel': 'poly', 'epsilon': 0.06711483754477288, 'degree': 5, 'C': 1.4005032607662082}. Best is trial 11 with value: 0.05531934963934123.
Trial 114 finished with value: -2.8244365346782394 and parameters: {'kernel': 'poly', 'epsilon': 0.2937433436446727, 'degree': 3, 'C': 0.4053938790954242}. Best is trial 11 with value: 0.05531934963934123.
Trial 121 finished with value: -0.05256318370323702 and parameters: {'kernel': 'rbf', 'epsilon': 0.12555829911670724, 'degree': 4, 'C': 5.250135863027065}. Best is trial 11 with value: 0.05531934963934123.
Trial 123 finished with value: -0.019746604294843373 and parameters: {'kernel': 'linear', 'epsilon': 0.456001160988851, 'degree': 2, 'C': 2.690116642125057}. Best is trial 11 with value: 0.05531934963934123.
Trial 127 finished with value: -5.4238512853014935 and parameters: {'kernel': 'rbf', 'epsilon': 0.864535999538945, 'degree': 4, 'C': 0.00012813638537066907}. Best is trial 11 with value: 0.05531934963934123.
Trial 115 finished with value: -5.2422597568299505 and parameters: {'kernel': 'rbf', 'epsilon': 0.48288182868178076, 'degree': 6, 'C': 0.036970678070608984}. Best is trial 11 with value: 0.05531934963934123.
Trial 125 finished with value: -4.044971663678367 and parameters: {'kernel': 'rbf', 'epsilon': 0.1318941068785947, 'degree': 6, 'C': 0.32615586920424944}. Best is trial 11 with value: 0.05531934963934123.
Trial 126 finished with value: -5.253580255218911 and parameters: {'kernel': 'rbf', 'epsilon': 0.2505399951771937, 'degree': 3, 'C': 0.030997313651634932}. Best is trial 11 with value: 0.05531934963934123.
Trial 129 finished with value: -5.393030480698175 and parameters: {'kernel': 'rbf', 'epsilon': 0.60727631657234, 'degree': 5, 'C': 0.007469882024421305}. Best is trial 11 with value: 0.05531934963934123.
Trial 137 finished with value: -0.018522604349699802 and parameters: {'kernel': 'linear', 'epsilon': 0.19192532515546867, 'degree': 4, 'C': 2.7687297647302227}. Best is trial 11 with value: 0.05531934963934123.
Trial 117 finished with value: -5.381857422642532 and parameters: {'kernel': 'rbf', 'epsilon': 0.3495012438891739, 'degree': 6, 'C': 0.0008455081905129174}. Best is trial 11 with value: 0.05531934963934123.
Trial 135 finished with value: -0.02134794834375293 and parameters: {'kernel': 'linear', 'epsilon': 0.4663413497811052, 'degree': 5, 'C': 3.037475491285576}. Best is trial 11 with value: 0.05531934963934123.
Trial 134 finished with value: -0.6109199585504229 and parameters: {'kernel': 'linear', 'epsilon': 0.8896629064366235, 'degree': 5, 'C': 0.10237987562220928}. Best is trial 11 with value: 0.05531934963934123.
Trial 131 finished with value: -5.349067334271692 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.09897368770724002, 'degree': 5, 'C': 0.0001706045994657254}. Best is trial 11 with value: 0.05531934963934123.
Trial 138 finished with value: -2.0880570053066734 and parameters: {'kernel': 'poly', 'epsilon': 0.06830014138641971, 'degree': 3, 'C': 0.8499684310631334}. Best is trial 11 with value: 0.05531934963934123.
Trial 139 finished with value: -0.5756511450051547 and parameters: {'kernel': 'linear', 'epsilon': 0.08984534441749126, 'degree': 3, 'C': 0.11034396837346142}. Best is trial 11 with value: 0.05531934963934123.
Trial 133 finished with value: -1.2330823195120366 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.1308875992415217, 'degree': 2, 'C': 1.4858332150547484}. Best is trial 11 with value: 0.05531934963934123.
Trial 142 finished with value: -4.997262938544342 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6401806701759181, 'degree': 4, 'C': 0.05128338277300155}. Best is trial 11 with value: 0.05531934963934123.
Trial 145 finished with value: -5.28292685125674 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.035406861382300425, 'degree': 5, 'C': 0.009029429750890805}. Best is trial 11 with value: 0.05531934963934123.
