A new study created in RDB with name: SVR_65137
Trial 109 finished with value: 0.39073423229841575 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.49728488247360425, 'degree': 5, 'C': 0.8779817836332222}. Best is trial 88 with value: 0.7768506091400382.
Trial 115 finished with value: 0.2653032552519068 and parameters: {'kernel': 'linear', 'epsilon': 0.535431203103263, 'degree': 6, 'C': 0.01974905925481481}. Best is trial 88 with value: 0.7768506091400382.
Trial 96 finished with value: -0.06186794707962404 and parameters: {'kernel': 'poly', 'epsilon': 0.22818233781700314, 'degree': 6, 'C': 0.0006532022239134872}. Best is trial 88 with value: 0.7768506091400382.
Trial 113 finished with value: 0.7761722325715936 and parameters: {'kernel': 'linear', 'epsilon': 0.4195788684135904, 'degree': 6, 'C': 1.0657394359396986}. Best is trial 112 with value: 0.7772807227025529.
Trial 110 finished with value: 0.09751076931071187 and parameters: {'kernel': 'linear', 'epsilon': 0.41162890610656644, 'degree': 6, 'C': 0.00799910011433674}. Best is trial 112 with value: 0.7772807227025529.
Trial 112 finished with value: 0.7772807227025529 and parameters: {'kernel': 'linear', 'epsilon': 0.08424137053455372, 'degree': 3, 'C': 2.0134627813544115}. Best is trial 112 with value: 0.7772807227025529.
Trial 111 finished with value: 0.13273984112262766 and parameters: {'kernel': 'poly', 'epsilon': 0.494589965982166, 'degree': 5, 'C': 0.3748520505624833}. Best is trial 112 with value: 0.7772807227025529.
Trial 121 finished with value: -0.06218727525617089 and parameters: {'kernel': 'rbf', 'epsilon': 0.8058124436046415, 'degree': 6, 'C': 0.003969321978794365}. Best is trial 112 with value: 0.7772807227025529.
Trial 119 finished with value: -0.05765572394815819 and parameters: {'kernel': 'linear', 'epsilon': 0.0922262218257679, 'degree': 6, 'C': 0.00019889155293617894}. Best is trial 112 with value: 0.7772807227025529.
Trial 122 finished with value: -0.05682248313870166 and parameters: {'kernel': 'rbf', 'epsilon': 0.5975095332132406, 'degree': 4, 'C': 0.012062130298544617}. Best is trial 112 with value: 0.7772807227025529.
Trial 117 finished with value: 0.1454220062400407 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.2715829090090668, 'degree': 3, 'C': 0.2910067780806572}. Best is trial 112 with value: 0.7772807227025529.
Trial 120 finished with value: -0.038251009269376246 and parameters: {'kernel': 'poly', 'epsilon': 0.049294483442113735, 'degree': 3, 'C': 0.03820735720921558}. Best is trial 112 with value: 0.7772807227025529.
Trial 118 finished with value: -0.06253905680331022 and parameters: {'kernel': 'rbf', 'epsilon': 0.30149210024511086, 'degree': 2, 'C': 0.00018415412095943709}. Best is trial 112 with value: 0.7772807227025529.
Trial 123 finished with value: 0.7496441665654789 and parameters: {'kernel': 'rbf', 'epsilon': 0.1543474618438292, 'degree': 4, 'C': 6.776328186853272}. Best is trial 112 with value: 0.7772807227025529.
Trial 126 finished with value: 0.4276946577138731 and parameters: {'kernel': 'linear', 'epsilon': 0.9018528677291116, 'degree': 6, 'C': 0.037483496430184386}. Best is trial 112 with value: 0.7772807227025529.
Trial 114 finished with value: 0.7741425724007763 and parameters: {'kernel': 'linear', 'epsilon': 0.8852176991885689, 'degree': 6, 'C': 6.553660669099019}. Best is trial 112 with value: 0.7772807227025529.
Trial 124 finished with value: -0.0478786065032763 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6909913817267487, 'degree': 3, 'C': 0.020082143036865233}. Best is trial 112 with value: 0.7772807227025529.
Trial 128 finished with value: 0.024468481312692424 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.734184318883812, 'degree': 2, 'C': 0.11230906654543515}. Best is trial 112 with value: 0.7772807227025529.
Trial 133 finished with value: -0.06436023622419504 and parameters: {'kernel': 'rbf', 'epsilon': 0.8548775119344061, 'degree': 3, 'C': 0.0005981612880369932}. Best is trial 112 with value: 0.7772807227025529.
Trial 125 finished with value: -0.062054461893607284 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.13313132997073418, 'degree': 3, 'C': 0.00019016412357296446}. Best is trial 112 with value: 0.7772807227025529.
