A new study created in RDB with name: Poly_ElasticNet_71149
Trial 29 finished with value: 0.7591922849594402 and parameters: {'n_components': 9, 'degree': 5, 'l1_ratio': 0.6454692837924325, 'max_iter': 73789}. Best is trial 89 with value: 0.8301173458287995.
Trial 15 finished with value: 0.7592679218723173 and parameters: {'n_components': 9, 'degree': 5, 'l1_ratio': 0.5428001509620582, 'max_iter': 81496}. Best is trial 89 with value: 0.8301173458287995.
Trial 11 finished with value: 0.7591108852265105 and parameters: {'n_components': 9, 'degree': 5, 'l1_ratio': 0.4687125900111484, 'max_iter': 85891}. Best is trial 89 with value: 0.8301173458287995.
Trial 118 finished with value: 0.46803780356704683 and parameters: {'n_components': 6, 'degree': 1, 'l1_ratio': 0.5473130862854562, 'max_iter': 17858}. Best is trial 89 with value: 0.8301173458287995.
Trial 125 finished with value: 0.7203145178759067 and parameters: {'n_components': 11, 'degree': 1, 'l1_ratio': 0.2953512459440595, 'max_iter': 21412}. Best is trial 89 with value: 0.8301173458287995.
Trial 117 finished with value: 0.7618887835496738 and parameters: {'n_components': 6, 'degree': 4, 'l1_ratio': 0.521372109124154, 'max_iter': 97608}. Best is trial 89 with value: 0.8301173458287995.
Trial 35 finished with value: 0.7507208215988468 and parameters: {'n_components': 8, 'degree': 5, 'l1_ratio': 0.6267996344388581, 'max_iter': 61524}. Best is trial 89 with value: 0.8301173458287995.
Trial 127 finished with value: 0.4499191015806594 and parameters: {'n_components': 4, 'degree': 1, 'l1_ratio': 0.8941295423268566, 'max_iter': 97086}. Best is trial 89 with value: 0.8301173458287995.
Trial 123 finished with value: 0.7831343902208912 and parameters: {'n_components': 4, 'degree': 4, 'l1_ratio': 0.256415533776464, 'max_iter': 86665}. Best is trial 89 with value: 0.8301173458287995.
Trial 121 finished with value: 0.7528676050398243 and parameters: {'n_components': 7, 'degree': 4, 'l1_ratio': 0.3879245402881837, 'max_iter': 22458}. Best is trial 89 with value: 0.8301173458287995.
Trial 119 finished with value: 0.8082643104375353 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.49550011015972706, 'max_iter': 80350}. Best is trial 89 with value: 0.8301173458287995.
