0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
1342.0,1890.6,1876.8,2452.8,1728.4,1447.8,1822.2,1842.8,1538.2,1287.2,1864.6,1646.2,1875.6,2370.2,1212.2,1747.2,1510.0,1412.6,1454.2,1825.6,1535.0,1024.4,1746.8,1361.8,1040.6,1601.4,1502.2,1139.2
1354.0,1891.6,1891.4,2478.4,1731.8,1453.6,1845.8,1851.8,1551.0,1280.8,1876.8,1660.6,1886.0,2381.6,1218.2,1764.0,1528.0,1436.0,1473.6,1834.8,1541.2,1033.2,1754.2,1370.6,1045.8,1604.2,1513.6,1145.2
1358.8,1901.0,1897.2,2512.0,1729.4,1451.8,1861.6,1862.6,1561.8,1286.2,1890.4,1668.4,1894.0,2387.0,1238.0,1779.8,1539.4,1455.2,1494.4,1847.6,1552.4,1040.2,1762.6,1383.4,1051.6,1612.4,1518.6,1156.6
1367.4,1909.2,1900.6,2537.0,1737.4,1452.8,1876.4,1874.8,1566.4,1286.0,1903.6,1673.0,1902.2,2398.0,1249.0,1789.0,1559.0,1470.2,1510.4,1865.6,1566.6,1047.6,1764.0,1389.8,1056.6,1623.0,1525.6,1165.6
1377.8,1919.0,1901.4,2554.8,1744.0,1457.2,1885.6,1881.2,1579.4,1286.6,1916.0,1678.6,1906.0,2405.8,1269.0,1800.2,1576.4,1481.6,1533.2,1879.6,1587.2,1058.8,1769.2,1392.0,1061.2,1627.4,1539.2,1168.4
1389.8,1926.4,1908.2,2580.0,1749.2,1462.4,1895.6,1884.8,1585.0,1290.6,1927.6,1682.2,1915.0,2424.2,1279.4,1808.8,1593.8,1486.6,1546.4,1891.0,1613.0,1066.0,1772.4,1391.2,1066.6,1630.8,1544.0,1175.4
1400.4,1935.8,1913.8,2600.0,1755.6,1464.4,1907.4,1888.4,1596.2,1293.6,1940.0,1690.2,1919.4,2440.2,1290.0,1819.4,1606.2,1500.4,1562.2,1906.0,1638.8,1065.2,1778.8,1393.6,1082.8,1631.6,1548.8,1187.4
1408.8,1944.6,1916.8,2620.6,1764.8,1466.0,1923.8,1894.4,1601.8,1294.4,1955.0,1693.0,1922.2,2450.6,1299.8,1826.6,1615.0,1514.0,1571.6,1917.6,1657.8,1071.2,1781.6,1397.0,1101.2,1630.2,1553.8,1196.8
1417.2,1963.0,1924.6,2641.6,1778.2,1465.4,1939.0,1901.4,1612.0,1299.4,1978.2,1695.4,1928.0,2458.6,1313.4,1832.6,1625.8,1523.0,1582.2,1931.2,1673.8,1076.2,1793.0,1402.4,1105.2,1633.0,1560.2,1207.8
1427.0,1979.8,1932.0,2664.0,1784.2,1473.6,1955.2,1908.0,1618.8,1304.8,1989.4,1700.2,1934.8,2467.8,1324.4,1841.6,1636.8,1529.2,1595.4,1944.4,1697.6,1081.8,1797.4,1410.8,1112.2,1639.4,1566.6,1218.4
1438.0,1990.4,1940.8,2688.8,1791.8,1482.8,1973.2,1916.8,1625.4,1306.0,2008.8,1703.2,1938.8,2472.4,1334.8,1851.8,1646.8,1531.6,1608.8,1963.4,1720.2,1089.6,1800.8,1419.2,1120.8,1640.0,1574.2,1229.8
1462.2,1993.0,1943.4,2705.8,1797.8,1491.8,1987.4,1925.0,1634.4,1311.2,2028.8,1705.4,1944.6,2479.8,1341.0,1861.0,1658.2,1534.6,1623.0,1969.8,1743.8,1097.8,1813.0,1425.0,1132.4,1642.4,1571.2,1235.6
1483.6,1997.2,1940.0,2729.4,1801.0,1503.4,2007.8,1942.6,1646.2,1316.4,2045.8,1703.2,1948.8,2492.8,1347.8,1869.2,1667.4,1539.8,1633.6,1975.0,1760.2,1108.4,1819.8,1431.6,1141.0,1647.2,1575.8,1243.8
1501.4,2002.8,1939.8,2752.0,1805.4,1510.8,2026.0,1957.4,1655.4,1321.6,2068.2,1705.4,1954.0,2504.8,1353.8,1876.0,1683.6,1546.2,1637.8,1982.8,1783.8,1118.0,1823.4,1436.8,1152.0,1655.2,1574.8,1253.2
1518.8,2005.0,1942.0,2770.6,1810.0,1520.0,2041.8,1971.6,1667.6,1326.2,2087.6,1707.2,1961.2,2516.6,1358.4,1883.6,1698.6,1552.6,1648.8,1985.4,1795.8,1130.6,1826.6,1439.6,1171.8,1664.6,1577.8,1260.8
1538.0,2000.2,1944.2,2793.6,1812.4,1532.4,2054.4,1995.8,1676.0,1329.4,2106.4,1704.4,1966.4,2538.2,1358.0,1895.4,1708.2,1551.4,1657.4,1992.4,1808.4,1139.4,1831.4,1445.2,1184.0,1668.2,1583.6,1265.8
1560.6,1992.4,1945.6,2819.2,1808.6,1543.4,2067.4,2030.4,1686.2,1334.2,2123.0,1700.6,1970.6,2565.4,1362.6,1903.0,1713.6,1551.4,1666.6,2000.8,1825.2,1145.4,1835.8,1451.4,1193.6,1677.0,1589.8,1273.2
1580.4,1984.4,1954.6,2840.6,1802.6,1553.6,2081.0,2058.2,1690.0,1338.4,2132.8,1699.4,1971.0,2584.8,1358.6,1911.2,1724.0,1560.8,1671.8,2009.8,1842.6,1151.6,1833.8,1476.4,1207.0,1686.6,1594.4,1274.8
1592.0,1979.0,1954.8,2861.8,1802.2,1563.8,2093.8,2089.2,1696.2,1343.0,2146.6,1697.6,1983.2,2598.0,1363.4,1918.8,1734.8,1568.4,1680.0,2019.0,1857.6,1163.4,1835.0,1497.0,1218.4,1689.6,1599.6,1278.6
1605.8,1973.2,1957.2,2882.6,1805.4,1569.4,2107.8,2105.6,1700.4,1344.4,2161.0,1696.2,1990.0,2611.8,1373.0,1929.4,1752.2,1577.2,1695.2,2025.6,1869.6,1173.6,1838.4,1509.4,1222.8,1692.0,1600.8,1282.0
1616.2,1973.2,1961.8,2903.4,1813.4,1576.0,2118.6,2133.0,1704.8,1346.6,2176.8,1695.2,1994.2,2616.0,1387.8,1936.2,1762.0,1578.0,1707.0,2034.6,1882.2,1181.2,1850.8,1526.4,1236.8,1694.2,1603.2,1291.4
1626.8,1974.0,1964.8,2928.4,1823.0,1583.4,2129.4,2143.6,1709.8,1346.8,2188.6,1697.6,1998.2,2624.0,1400.8,1940.4,1770.6,1585.6,1716.6,2042.8,1895.0,1196.6,1863.2,1553.0,1257.0,1698.8,1613.6,1298.4
1636.8,1973.6,1972.4,2947.4,1827.4,1594.0,2142.2,2154.4,1714.8,1344.2,2198.8,1697.2,2003.0,2630.4,1411.4,1942.8,1780.0,1585.0,1730.8,2051.4,1908.0,1207.2,1870.2,1565.0,1270.6,1702.6,1625.6,1302.2
1652.0,1971.4,1979.4,2960.2,1827.2,1605.4,2149.6,2160.4,1721.2,1344.8,2214.4,1694.8,2009.6,2636.4,1424.4,1946.2,1793.8,1589.2,1741.2,2055.0,1918.6,1219.6,1873.6,1570.0,1280.8,1702.2,1633.8,1307.8
1662.8,1970.2,1987.4,2979.4,1829.4,1607.2,2156.2,2174.6,1723.2,1348.2,2225.0,1685.6,2014.2,2643.4,1435.6,1950.6,1803.6,1585.6,1749.8,2058.4,1922.6,1233.6,1877.2,1566.4,1300.2,1700.8,1637.2,1314.4
1671.2,1968.4,1991.8,2991.8,1831.4,1612.8,2158.2,2189.2,1727.0,1350.0,2235.0,1679.4,2019.4,2648.0,1450.6,1953.4,1812.2,1581.4,1753.6,2067.4,1921.4,1242.8,1884.6,1565.4,1313.8,1700.6,1643.6,1315.2
1682.6,1967.4,1996.8,3009.2,1847.8,1623.0,2163.0,2206.6,1729.2,1356.4,2249.6,1672.8,2022.4,2652.2,1463.2,1959.2,1820.6,1581.8,1760.0,2077.0,1918.2,1247.2,1894.2,1571.4,1328.0,1704.2,1651.2,1321.2
1668.8,1970.2,2000.2,3012.0,1853.6,1626.2,2164.4,2211.4,1728.4,1361.6,2257.0,1674.6,2025.6,2657.2,1462.8,1966.8,1815.6,1580.2,1759.4,2088.4,1913.2,1251.2,1902.6,1578.8,1337.0,1709.6,1657.8,1316.8
1660.6,1974.0,2003.4,3004.4,1855.6,1626.6,2173.8,2216.4,1724.2,1359.4,2271.8,1674.2,2026.2,2658.2,1467.0,1963.8,1817.8,1583.4,1764.4,2101.4,1916.2,1253.4,1909.4,1583.2,1344.2,1714.4,1661.0,1305.8
1659.2,1978.4,2003.6,3007.2,1860.8,1628.2,2179.6,2223.2,1723.2,1359.0,2277.8,1674.6,2029.6,2658.4,1476.8,1966.6,1818.4,1586.4,1769.0,2106.0,1919.6,1264.4,1914.6,1587.4,1359.0,1724.6,1663.2,1306.8
1660.2,1982.8,1995.6,3006.8,1863.8,1627.0,2183.6,2231.0,1717.4,1359.4,2286.4,1665.8,2033.2,2653.4,1488.2,1970.0,1828.8,1591.8,1769.0,2114.0,1927.4,1272.4,1923.2,1589.6,1370.2,1730.4,1670.6,1311.6
1655.4,1986.2,1989.2,3007.8,1864.0,1629.8,2185.2,2256.8,1715.2,1360.8,2292.8,1655.6,2039.6,2655.0,1494.0,1971.2,1828.8,1592.6,1774.4,2123.4,1937.2,1279.0,1924.2,1597.4,1384.0,1735.6,1674.6,1313.6
